bill_id,state,year,bill_type,chamber,status,stance,binding_effect,enforcement_teeth,legal_mechanism,primary_policy_area,policy_areas,affected_population,creates_private_right_of_action,restricts_ice_cooperation,protects_sensitive_locations,affects_drivers_licenses,affects_public_benefits,mentions_287g_or_sanctuary,immigrant_framing,one_sentence_summary
,,,,,,,,,,,,,,,,,,,,
,,,,,,"[Pro | Anti | Neutral | Mixed]","[Binding | Non-binding]","[None | Funding | Civil | Criminal]","[Mandate | Prohibition | Funding | Reporting | Symbolic]","[Law Enforcement | Education | Employment & E-Verify | Health & Public Benefits | Driver's Licenses & IDs | Detention | Court & Due Process | Housing | Human Trafficking | Refugees & Asylum | Voting / Civic | Appropriations | Symbolic / Resolution] — e.g. Education; Symbolic / Resolution","[same vocab as primary_policy_area — semi-colon separated; must include primary]","[Undocumented | DACA/Dreamers | Refugees/Asylees | Mixed-status families | All immigrants | Crime victims | Children/Students — semi-colon separated]","[True | False]","[True | False]","[True | False]","[True | False]","[Expands | Restricts | N/A]","[True | False]","[Victim | Threat | Worker | Family | Neutral]","Free text ≤25 words"
CA-2025-A49,CA,2025,Bill,Assembly,Introduced,Pro,Binding,Civil,Prohibition,Education,"Education; Law Enforcement","Children/Students; Undocumented",False,True,True,False,N/A,False,Family,Prohibits school officials from allowing immigration officers into school sites without a judicial warrant and from sharing student immigrant information.
