Layer,Name,GEOID,INC_2020-2024,INC_2020-2024_moe
Census tract,Tract 702,17031070200,"$109,000","$28,125"
Census tract,Tract 703,17031070300,"$156,898","$67,260"
Census tract,Tract 704,17031070400,"$192,955","$80,243"
Census tract,Tract 705,17031070500,"$207,076","$31,204"
Census tract,Tract 706,17031070600,"$249,531","$96,788"
Census tract,Tract 707,17031070700,"$143,955","$50,151"
Census tract,Tract 710,17031071000,"$179,438","$42,924"
Census tract,Tract 711,17031071100,"$204,609","$35,748"
Census tract,Tract 712,17031071200,"$131,383","$21,522"
Census tract,Tract 713,17031071300,"$129,486","$30,930"
Census tract,Tract 714,17031071400,"$113,581","$30,976"
Census tract,Tract 715,17031071500,"$119,024","$15,170"
Census tract,Tract 716,17031071600,"$204,375","$71,736"
Census tract,Tract 717,17031071700,"$202,500","$85,311"
Census tract,Tract 718,17031071800,"$241,228","$36,898"
Census tract,Tract 801,17031080100,"$105,000","$24,417"
Census tract,Tract 802.01,17031080201,"$120,409","$26,560"
Census tract,Tract 802.02,17031080202,"$106,071","$14,241"
Census tract,Tract 803,17031080300,"$151,830","$20,344"
Census tract,Tract 804,17031080400,"$68,270","$51,179"
Census tract,Tract 810,17031081000,"$79,465","$12,761"
Census tract,Tract 811,17031081100,"$79,561","$9,747"
Census tract,Tract 812.01,17031081201,"$122,659","$21,769"
Census tract,Tract 812.02,17031081202,"$154,569","$69,448"
Census tract,Tract 813,17031081300,"$108,625","$28,286"
Census tract,Tract 814.01,17031081401,"$83,292","$15,854"
Census tract,Tract 814.02,17031081402,"$170,333","$47,591"
Census tract,Tract 814.03,17031081403,"$110,327","$17,754"
Census tract,Tract 815,17031081500,"$134,320","$30,560"
Census tract,Tract 816,17031081600,"$145,500","$34,473"
Census tract,Tract 817,17031081700,"$142,821","$20,453"
Census tract,Tract 818,17031081800,"$147,354","$17,948"
Census tract,Tract 819,17031081900,"$225,694","$57,588"
Census tract,Tract 901,17031090100,"$140,194","$41,371"
Census tract,Tract 902,17031090200,"$127,384","$21,219"
Census tract,Tract 903,17031090300,"$116,438","$21,260"
Census tract,Tract 1001,17031100100,"$114,536","$18,492"
Census tract,Tract 1002,17031100200,"$94,167","$23,243"
Census tract,Tract 1003,17031100300,"$95,441","$23,700"
Census tract,Tract 1004,17031100400,"$142,123","$18,205"
Census tract,Tract 1005,17031100500,"$128,688","$19,308"
Census tract,Tract 1006,17031100600,"$78,689","$12,692"
Census tract,Tract 1007,17031100700,"$134,767","$20,764"
Census tract,Tract 1101,17031110100,"$97,743","$22,561"
Census tract,Tract 1102,17031110200,"$76,563","$33,955"
Census tract,Tract 1103,17031110300,"$119,750","$26,938"
Census tract,Tract 1104,17031110400,"$92,315","$13,914"
Census tract,Tract 1105.01,17031110501,"$105,568","$16,576"
Census tract,Tract 1105.02,17031110502,"$71,992","$29,679"
Census tract,Tract 1201,17031120100,"$163,007","$25,260"
Census tract,Tract 1202,17031120200,"$141,458","$39,506"
Census tract,Tract 1203,17031120300,"$139,338","$28,772"
Census tract,Tract 1204,17031120400,"$108,145","$17,902"
Census tract,Tract 1301,17031130100,"$34,565","$30,111"
Census tract,Tract 1302,17031130200,"$120,625","$62,316"
Census tract,Tract 1303,17031130300,"$67,833","$7,120"
Census tract,Tract 1401,17031140100,"$78,686","$25,639"
Census tract,Tract 1402,17031140200,"$75,067","$12,920"
Census tract,Tract 1403.01,17031140301,"$75,616","$7,582"
Census tract,Tract 1403.02,17031140302,"$97,574","$25,282"
Census tract,Tract 1404,17031140400,"$110,306","$30,387"
Census tract,Tract 1405,17031140500,"$73,889","$31,728"
Census tract,Tract 1406.01,17031140601,"$85,375","$22,409"
Census tract,Tract 1406.02,17031140602,"$62,033","$13,031"
Census tract,Tract 1407.01,17031140701,"$97,500","$25,342"
Census tract,Tract 1407.02,17031140702,"$76,392","$24,547"
Census tract,Tract 1408,17031140800,"$108,958","$29,735"
Census tract,Tract 1502,17031150200,"$105,145","$20,291"
Census tract,Tract 1503,17031150300,"$89,097","$15,773"
Census tract,Tract 1504.01,17031150401,"$86,563","$18,424"
Census tract,Tract 1504.02,17031150402,"$103,939","$19,509"
Census tract,Tract 1505.01,17031150501,"$126,471","$25,118"
Census tract,Tract 1505.02,17031150502,"$79,659","$22,543"
Census tract,Tract 1506,17031150600,"$102,399","$10,687"
Census tract,Tract 1507,17031150700,"$132,361","$44,899"
Census tract,Tract 1508,17031150800,"$92,443","$23,371"
Census tract,Tract 1510.01,17031151001,"$94,435","$10,713"
Census tract,Tract 1510.02,17031151002,"$75,875","$17,151"
Census tract,Tract 1511,17031151100,"$62,717","$32,628"
Census tract,Tract 1512,17031151200,"$69,776","$27,711"
Census tract,Tract 1601,17031160100,"$111,250","$25,022"
Census tract,Tract 1602,17031160200,"$132,599","$18,612"
Census tract,Tract 1603,17031160300,"$68,887","$15,081"
Census tract,Tract 1604,17031160400,"$81,375","$11,899"
Census tract,Tract 1605.01,17031160501,"$80,179","$22,258"
Census tract,Tract 1605.02,17031160502,"$114,719","$12,184"
Census tract,Tract 1606.01,17031160601,"$75,536","$9,150"
Census tract,Tract 1606.02,17031160602,"$99,531","$19,610"
Census tract,Tract 1607,17031160700,"$93,750","$48,617"
Census tract,Tract 1608,17031160800,"$87,676","$17,439"
Census tract,Tract 1609,17031160900,"$109,598","$39,082"
Census tract,Tract 1610,17031161000,"$109,524","$22,921"
Census tract,Tract 1611,17031161100,"$149,722","$46,436"
Census tract,Tract 1612,17031161200,"$80,132","$36,204"
Census tract,Tract 1613,17031161300,"$59,353","$6,697"
Census tract,Tract 1701,17031170100,"$51,944","$39,546"
Census tract,Tract 1702,17031170200,"$110,602","$17,999"
Census tract,Tract 1703,17031170300,"$82,203","$17,615"
Census tract,Tract 1704,17031170400,"$110,800","$18,481"
Census tract,Tract 1705,17031170500,"$85,250","$36,396"
Census tract,Tract 1706,17031170600,"$81,004","$9,171"
Census tract,Tract 1707,17031170700,"$90,611","$16,141"
Census tract,Tract 1708,17031170800,"$80,446","$20,872"
Census tract,Tract 1709,17031170900,"$64,202","$18,308"
Census tract,Tract 1710,17031171000,"$86,597","$14,509"
Census tract,Tract 1711,17031171100,"$95,781","$22,830"
Census tract,Tract 1801,17031180100,"$86,632","$23,932"
Census tract,Tract 1901,17031190100,"$56,713","$8,378"
Census tract,Tract 1902,17031190200,"$80,380","$11,024"
Census tract,Tract 1903,17031190300,"$78,750","$23,734"
Census tract,Tract 1904.01,17031190401,"$115,000","$20,958"
Census tract,Tract 1904.02,17031190402,"$63,140","$15,551"
Census tract,Tract 1906.01,17031190601,"$77,316","$21,582"
Census tract,Tract 1906.02,17031190602,"$82,232","$33,628"
Census tract,Tract 1907.01,17031190701,"$68,810","$24,789"
Census tract,Tract 1907.02,17031190702,"$62,813","$12,053"
Census tract,Tract 1908,17031190800,"$52,880","$36,159"
Census tract,Tract 1909,17031190900,"$77,778","$24,979"
Census tract,Tract 1910,17031191000,"$58,182","$33,482"
Census tract,Tract 1911,17031191100,"$51,958","$10,374"
Census tract,Tract 1912,17031191200,"$51,449","$9,496"
Census tract,Tract 1913.01,17031191301,"$69,783","$19,172"
Census tract,Tract 1913.02,17031191302,"$62,146","$15,249"
Census tract,Tract 2001,17031200100,"$81,131","$15,024"
Census tract,Tract 2002,17031200200,"$69,335","$8,311"
Census tract,Tract 2003,17031200300,"$48,977","$24,959"
Census tract,Tract 2004.01,17031200401,"$69,046","$19,776"
Census tract,Tract 2004.02,17031200402,"$80,784","$19,261"
Census tract,Tract 2101,17031210100,"$115,018","$11,819"
Census tract,Tract 2104,17031210400,"$71,183","$8,191"
Census tract,Tract 2105.01,17031210501,"$76,379","$14,235"
Census tract,Tract 2105.02,17031210502,"$78,881","$8,617"
Census tract,Tract 2106.01,17031210601,"$84,271","$42,923"
Census tract,Tract 2106.02,17031210602,"$87,571","$10,022"
Census tract,Tract 2107,17031210700,"$89,196","$32,895"
Census tract,Tract 2108,17031210800,"$104,701","$11,276"
Census tract,Tract 2109,17031210900,"$101,288","$25,929"
Census tract,Tract 2203,17031220300,"$101,875","$17,882"
Census tract,Tract 2204,17031220400,"$126,273","$21,564"
Census tract,Tract 2205,17031220500,"$102,552","$9,328"
Census tract,Tract 2206.01,17031220601,"$134,000","$8,663"
Census tract,Tract 2206.02,17031220602,"$77,650","$11,281"
Census tract,Tract 2207.01,17031220701,"$77,904","$18,518"
Census tract,Tract 2207.02,17031220702,"$84,167","$18,305"
Census tract,Tract 2209.01,17031220901,"$96,458","$19,856"
Census tract,Tract 2209.02,17031220902,"$82,104","$20,380"
Census tract,Tract 2210,17031221000,"$91,914","$21,462"
Census tract,Tract 2211,17031221100,"$104,342","$24,340"
Census tract,Tract 2212,17031221200,"$127,795","$23,208"
Census tract,Tract 2213,17031221300,"$89,158","$17,314"
Census tract,Tract 2214,17031221400,"$100,565","$34,769"
Census tract,Tract 2215,17031221500,"$92,193","$19,592"
Census tract,Tract 2216,17031221600,"$145,625","$30,868"
Census tract,Tract 2222,17031222200,"$176,711","$32,739"
Census tract,Tract 2225,17031222500,"$159,468","$8,382"
Census tract,Tract 2226,17031222600,"$97,632","$15,764"
Census tract,Tract 2227,17031222700,"$88,158","$5,419"
Census tract,Tract 2228,17031222800,"$73,403","$34,299"
Census tract,Tract 2229,17031222900,"$92,386","$40,147"
Census tract,Tract 2301,17031230100,"$84,453","$31,215"
Census tract,Tract 2302,17031230200,"$96,471","$36,221"
Census tract,Tract 2303,17031230300,"$68,229","$17,756"
Census tract,Tract 2304,17031230400,"$104,050","$23,926"
Census tract,Tract 2305,17031230500,"$48,371","$16,706"
Census tract,Tract 2306,17031230600,"$59,351","$24,581"
Census tract,Tract 2307,17031230700,"$36,820","$18,591"
Census tract,Tract 2308,17031230800,"$65,648","$26,079"
Census tract,Tract 2309,17031230900,"$71,224","$14,075"
Census tract,Tract 2311,17031231100,"$60,859","$26,421"
Census tract,Tract 2312,17031231200,"$40,122","$12,850"
Census tract,Tract 2315,17031231500,"$30,637","$8,512"
Census tract,Tract 2402,17031240200,"$168,862","$24,427"
Census tract,Tract 2403,17031240300,"$171,528","$31,301"
Census tract,Tract 2405,17031240500,"$184,580","$15,704"
Census tract,Tract 2406,17031240600,"$170,625","$30,738"
Census tract,Tract 2407,17031240700,"$95,921","$48,565"
