ID,cawp_name,ilga_name,chamber,general_assembly,ilga_all_bills_count,ilga_primary_bills_count,ilga_cosponsored_bills_count,ilga_healthcare_all_count,ilga_healthcare_primary_count,ilga_healthcare_cosponsored_count,ilga_employment_all_count,ilga_employment_primary_count,ilga_employment_cosponsored_count,ilga_education_children_all_count,ilga_education_children_primary_count,ilga_education_children_cosponsored_count
477852k,Carol Ammons,Carol Ammons,House,102,342,48,294,33,2,31,18,3,15,76,12,64
724507k,Dagmara Avelar,Dagmara Avelar,House,102,298,30,268,56,7,49,11,0,11,54,1,53
645441k,Delia C. Ramirez,Delia C. Ramirez,House,102,237,39,198,31,3,28,12,1,11,36,5,31
724191k,Denyse Wang Stoneback,Denyse Wang Stoneback,House,102,170,48,122,29,10,19,4,0,4,26,6,20
804306k,Diane Blair-Sherlock,Diane Blair-Sherlock,House,102,2,0,2,0,0,0,0,0,0,0,0,0
250823k,Elizabeth Hernandez,Elizabeth Hernandez,House,102,329,35,294,50,6,44,19,2,17,70,4,66
387344k,Frances Ann Hurley,Frances Ann Hurley,House,102,183,34,149,16,2,14,9,2,7,27,1,26
724500k,Jackie Haas,Jackie Haas,House,102,92,19,73,14,4,10,3,0,3,12,4,8
724382k,Janet Yang Rohr,Janet Yang Rohr,House,102,231,30,201,28,3,25,13,4,9,46,7,39
645455k,Jennifer Gong-Gershowitz,Jennifer Gong-Gershowitz,House,102,178,29,149,27,4,23,13,2,11,19,1,18
387571k,Kathleen Willis,Kathleen Willis,House,102,250,51,199,45,5,40,17,3,14,54,4,50
561037k,Katie Stuart,Katie Stuart,House,102,321,80,241,47,4,43,16,2,14,82,20,62
343438k,Kelly M. Cassidy,Kelly M. Cassidy,House,102,389,61,328,58,4,54,17,0,17,59,5,54
561038k,LaToya N. Greenwood,LaToya Greenwood,House,102,293,61,232,54,13,41,11,6,5,54,8,46
724218k,Lakesia Collins,Lakesia Collins,House,102,215,33,182,34,7,27,17,1,16,50,10,40
804095k,Lilian Jimenez,Lilian Jimenez,House,102,2,0,2,0,0,0,0,0,0,0,0,0
713780k,Lindsey LaPointe,Lindsey LaPointe,House,102,303,65,238,68,15,53,21,9,12,60,13,47
724186k,Margaret Croke,Margaret Croke,House,102,275,37,238,38,5,33,13,2,11,33,1,32
386896k,Mary E. Flowers,Mary E. Flowers,House,102,199,98,101,54,31,23,9,5,4,39,20,19
724387k,Maura Hirschauer,Maura Hirschauer,House,102,244,41,203,35,7,28,12,3,9,52,9,43
289863k,Michelle Mussman,Michelle Mussman,House,102,234,33,201,31,5,26,11,2,9,51,15,36
387729k,Natalie A. Manley,Natalie A. Manley,House,102,217,44,173,30,3,27,10,0,10,34,7,27
287099k,Robyn Gabel,Robyn Gabel,House,102,264,54,210,62,22,40,9,3,6,29,1,28
794486k,Sandra Hamilton,Sandra Hamilton,House,102,35,6,29,2,0,2,3,0,3,8,1,7
559508k,Sonya M. Harper,Sonya M. Harper,House,102,193,82,111,24,9,15,4,1,3,39,18,21
387605k,Stephanie A. Kifowit,Stephanie A. Kifowit,House,102,275,56,219,32,5,27,14,4,10,54,9,45
387726k,Sue Scherer,Sue Scherer,House,102,185,26,159,26,2,24,8,0,8,52,10,42
724473k,Suzanne M. Ness,Suzanne Ness,House,102,197,29,168,28,4,24,11,2,9,30,5,25
645525k,Terra Costa Howard,Terra Costa Howard,House,102,252,44,208,34,5,29,15,3,12,45,10,35
560990k,Theresa Mah,Theresa Mah,House,102,209,40,169,33,7,26,8,0,8,39,2,37
753914k,Adriane Johnson,Adriane Johnson,Senate,102,289,52,237,59,9,50,10,4,6,55,9,46
646485k,Ann Gillespie,Ann Gillespie,Senate,102,192,57,135,44,9,35,9,5,4,41,15,26
675767k,Celina Villanueva,Celina Villanueva,Senate,102,244,75,169,49,9,40,13,6,7,60,14,46
560946k,Cristina Castro,Cristina Castro,Senate,102,312,112,200,41,8,33,23,17,6,49,7,42
709769k,Cristina H. Pacione-Zayas,Cristina H. Pacione-Zayas,Senate,102,209,52,157,35,6,29,8,0,8,69,30,39
680814k,Diane Pappas,Diane Pappas,Senate,102,30,1,29,3,0,3,0,0,0,3,0,3
766559k,Doris Turner,Doris Turner,Senate,102,212,47,165,40,6,34,7,3,4,37,9,28
212706k,Jacqueline Y. Collins,Jacqueline Y. Collins,Senate,102,301,39,262,53,3,50,11,0,11,54,6,48
247264k,Jil W. Tracy,Jil Tracy,Senate,102,170,49,121,12,0,12,5,3,2,27,7,20
645527k,Karina Villa,Karina Villa,Senate,102,276,61,215,63,16,47,18,8,10,73,15,58
193900k,Kimberly A. Lightford,Kimberly A. Lightford,Senate,102,200,66,134,25,6,19,7,2,5,56,19,37
646482k,Laura Ellman,Laura Ellman,Senate,102,122,32,90,20,2,18,5,1,4,25,6,19
387347k,Laura Fine,Laura Fine,Senate,102,308,110,198,76,35,41,13,6,7,51,6,45
555460k,Laura M. Murphy,Laura M. Murphy,Senate,102,441,126,315,61,11,50,19,3,16,82,18,64
250812k,Linda Holmes,Linda Holmes,Senate,102,168,71,97,16,1,15,14,10,4,21,5,16
214463k,Mattie Hunter,Mattie Hunter,Senate,102,343,87,256,66,19,47,22,9,13,75,15,60
724349k,Meg Loughran Cappel,Meg Loughran Cappel,Senate,102,177,35,142,26,4,22,6,1,5,54,17,37
387460k,Melinda Bush,Melinda Bush,Senate,102,148,23,125,32,4,28,6,1,5,26,2,24
387354k,Patricia Van Pelt,Patricia Van Pelt,Senate,102,156,20,136,33,6,27,8,2,6,23,1,22
646501k,Rachelle Aud Crowe,Rachelle Crowe,Senate,102,241,21,220,25,0,25,10,2,8,40,2,38
765743k,Sally J. Turner,Sally J. Turner,Senate,102,153,28,125,13,3,10,4,0,4,35,3,32
194298k,Sara Feigenholtz,Sara Feigenholtz,Senate,102,317,97,220,77,25,52,13,4,9,57,11,46
289878k,Sue Rezin,Sue Rezin,Senate,102,150,55,95,13,3,10,1,1,0,25,9,16
477858k,Terri Bryant,Terri Bryant,Senate,102,193,39,154,15,1,14,9,4,5,36,9,27
724177k,Amy Elik,Amy Elik,House,103,168,52,116,10,3,7,9,4,5,46,15,31
770579k,Angelica Guerrero-Cuellar,Angelica Guerrero-Cuellar,House,103,134,23,111,13,1,12,12,1,11,22,3,19
646616k,Anne M. Stava-Murray,Anne Stava-Murray,House,103,278,37,241,39,8,31,15,1,14,52,4,48
477852k,Carol Ammons,Carol Ammons,House,103,242,31,211,23,1,22,21,0,21,54,13,41
724507k,Dagmara Avelar,Dagmara Avelar,House,103,374,62,312,69,23,46,25,2,23,57,7,50
804306k,Diane Blair-Sherlock,Diane Blair-Sherlock,House,103,243,19,224,27,3,24,13,0,13,53,4,49
387344k,Frances Ann Hurley,Frances Ann Hurley,House,103,4,4,0,1,1,0,0,0,0,0,0,0
724500k,Jackie Haas,Jackie Haas,House,103,147,34,113,17,5,12,5,2,3,26,3,23
724382k,Janet Yang Rohr,Janet Yang Rohr,House,103,274,57,217,36,7,29,20,4,16,77,23,54
804304k,Jenn Ladisch Douglass,Jenn Ladisch Douglass,House,103,214,37,177,23,6,17,11,1,10,32,1,31
645455k,Jennifer Gong-Gershowitz,Jennifer Gong-Gershowitz,House,103,156,47,109,7,2,5,5,0,5,24,3,21
804308k,Jennifer Sanalitro,Jennifer Sanalitro,House,103,130,17,113,9,2,7,3,1,2,30,3,27
561037k,Katie Stuart,Katie Stuart,House,103,272,72,200,28,4,24,22,5,17,76,35,41
343438k,Kelly M. Cassidy,Kelly M. Cassidy,House,103,373,64,309,59,5,54,18,0,18,51,6,45
724218k,Lakesia Collins,Lakesia Collins,House,103,126,31,95,20,8,12,12,3,9,27,8,19
804453k,Laura Faver Dias,Laura Faver Dias,House,103,299,44,255,34,0,34,22,2,20,68,13,55
713780k,Lindsey LaPointe,Lindsey LaPointe,House,103,258,63,195,62,30,32,13,0,13,30,3,27
724186k,Margaret Croke,Margaret Croke,House,103,204,59,145,17,2,15,6,1,5,30,9,21
804395k,Mary Beth Canty,Mary Beth Canty,House,103,219,33,186,22,1,21,15,1,14,39,12,27
386896k,Mary E. Flowers,Mary E. Flowers,House,103,171,91,80,37,28,9,11,3,8,35,23,12
839184k,Mary Gill,Mary Gill,House,103,107,19,88,3,3,0,5,1,4,22,2,20
724387k,Maura Hirschauer,Maura Hirschauer,House,103,262,44,218,40,10,30,9,2,7,53,8,45
289863k,Michelle Mussman,Michelle Mussman,House,103,258,50,208,30,8,22,14,4,10,66,27,39
804387k,Nabeela Syed,Nabeela Syed,House,103,230,51,179,24,5,19,12,1,11,34,8,26
387729k,Natalie A. Manley,Natalie A. Manley,House,103,154,39,115,18,6,12,11,2,9,20,2,18
859564k,Nicole La Ha,Nicole La Ha,House,103,95,3,92,6,0,6,4,0,4,16,0,16
880072k,Nicolle Grasse,Nicolle Grasse,House,103,2,0,2,0,0,0,1,0,1,0,0,0
804492k,Norma Hernandez,Norma Hernandez,House,103,242,19,223,24,2,22,14,0,14,34,3,31
287099k,Robyn Gabel,Robyn Gabel,House,103,87,33,54,16,14,2,4,0,4,14,2,12
804553k,Sharon Chung,Sharon Chung,House,103,244,30,214,27,4,23,19,2,17,49,6,43
559508k,Sonya M. Harper,Sonya M. Harper,House,103,203,59,144,16,6,10,13,1,12,24,4,20
387605k,Stephanie A. Kifowit,Stephanie A. Kifowit,House,103,278,71,207,17,5,12,52,24,28,37,5,32
387726k,Sue Scherer,Sue Scherer,House,103,149,13,136,7,0,7,18,0,18,36,5,31
645525k,Terra Costa Howard,Terra Costa Howard,House,103,209,54,155,32,11,21,11,2,9,36,10,26
560990k,Theresa Mah,Theresa Mah,House,103,220,35,185,29,6,23,11,0,11,34,2,32
859524k,Tracy Katz Muhl,Tracy Katz Muhl,House,103,71,14,57,7,2,5,3,0,3,17,3,14
753914k,Adriane Johnson,Adriane Johnson,Senate,103,483,100,383,57,9,48,25,4,21,105,29,76
646485k,Ann Gillespie,Ann Gillespie,Senate,103,111,9,102,10,1,9,2,0,2,20,0,20
675767k,Celina Villanueva,Celina Villanueva,Senate,103,256,95,161,33,11,22,21,9,12,38,14,24
560946k,Cristina Castro,Cristina Castro,Senate,103,332,123,209,26,5,21,28,15,13,50,13,37
709769k,Cristina H. Pacione-Zayas,Cristina H. Pacione-Zayas,Senate,103,91,1,90,16,0,16,10,0,10,26,0,26
766559k,Doris Turner,Doris Turner,Senate,103,275,90,185,42,12,30,14,8,6,49,14,35
247264k,Jil W. Tracy,Jil Tracy,Senate,103,184,97,87,12,6,6,12,4,8,31,14,17
645527k,Karina Villa,Karina Villa,Senate,103,323,92,231,66,29,37,31,13,18,43,8,35
193900k,Kimberly A. Lightford,Kimberly A. Lightford,Senate,103,183,69,114,24,8,16,5,0,5,51,32,19
724218k,Lakesia Collins,Lakesia Collins,Senate,103,128,35,93,16,7,9,5,1,4,23,10,13
646482k,Laura Ellman,Laura Ellman,Senate,103,204,95,109,15,5,10,5,0,5,28,12,16
387347k,Laura Fine,Laura Fine,Senate,103,339,132,207,62,31,31,11,7,4,42,18,24
555460k,Laura M. Murphy,Laura M. Murphy,Senate,103,457,107,350,59,13,46,15,4,11,82,12,70
250812k,Linda Holmes,Linda Holmes,Senate,103,158,66,92,15,5,10,12,7,5,13,5,8
671347k,Mary Edly-Allen,Mary Edly-Allen,Senate,103,506,57,449,51,1,50,17,0,17,107,9,98
214463k,Mattie Hunter,Mattie Hunter,Senate,103,254,47,207,43,15,28,13,3,10,41,6,35
724349k,Meg Loughran Cappel,Meg Loughran Cappel,Senate,103,243,65,178,17,2,15,13,6,7,79,27,52
847691k,Natalie Toro,Natalie Toro,Senate,103,95,21,74,12,2,10,1,0,1,14,4,10
387354k,Patricia Van Pelt,Patricia Van Pelt,Senate,103,2,0,2,0,0,0,0,0,0,1,0,1
712640k,Rachel Ventura,Rachel Ventura,Senate,103,448,82,366,46,6,40,21,0,21,68,8,60
765743k,Sally J. Turner,Sally J. Turner,Senate,103,250,36,214,25,5,20,12,1,11,30,7,23
194298k,Sara Feigenholtz,Sara Feigenholtz,Senate,103,235,86,149,42,22,20,8,3,5,22,8,14
289878k,Sue Rezin,Sue Rezin,Senate,103,153,73,80,5,2,3,4,0,4,20,8,12
477858k,Terri Bryant,Terri Bryant,Senate,103,142,44,98,17,1,16,12,4,8,20,10,10
724177k,Amy Elik,Amy Elik,House,104,154,54,100,15,4,11,11,5,6,26,4,22
770579k,Angelica Guerrero-Cuellar,Angelica Guerrero-Cuellar,House,104,127,38,89,11,3,8,7,3,4,17,7,10
699437k,Barbara Hernandez,Barbara Hernandez,House,104,296,40,256,48,4,44,13,0,13,30,8,22
477852k,Carol Ammons,Carol Ammons,House,104,148,23,125,16,2,14,9,1,8,22,4,18
724507k,Dagmara Avelar,Dagmara Avelar,House,104,284,51,233,54,11,43,18,3,15,31,2,29
804306k,Diane Blair-Sherlock,Diane Blair-Sherlock,House,104,248,24,224,25,1,24,13,0,13,37,4,33
724500k,Jackie Haas,Jackie Haas,House,104,129,42,87,7,2,5,4,2,2,15,3,12
724382k,Janet Yang Rohr,Janet Yang Rohr,House,104,263,80,183,47,9,38,17,9,8,59,18,41
645455k,Jennifer Gong-Gershowitz,Jennifer Gong-Gershowitz,House,104,113,29,84,9,3,6,3,1,2,16,1,15
804308k,Jennifer Sanalitro,Jennifer Sanalitro,House,104,125,24,101,7,0,7,6,0,6,18,4,14
561037k,Katie Stuart,Katie Stuart,House,104,256,66,190,18,4,14,19,7,12,66,26,40
343438k,Kelly M. Cassidy,Kelly M. Cassidy,House,104,345,51,294,56,9,47,16,1,15,40,4,36
804453k,Laura Faver Dias,Laura Faver Dias,House,104,351,64,287,67,14,53,13,6,7,72,24,48
713780k,Lindsey LaPointe,Lindsey LaPointe,House,104,215,54,161,60,29,31,7,1,6,24,1,23
859499k,Lisa J. Davis,Lisa Davis,House,104,269,25,244,37,8,29,18,2,16,28,2,26
936833k,Margaret A. DeLaRosa,Margaret A. DeLaRosa,House,104,66,31,35,11,7,4,1,1,0,10,2,8
724186k,Margaret Croke,Margaret Croke,House,104,126,33,93,10,2,8,5,0,5,20,2,18
859512k,Martha Deuter,Martha Deuter,House,104,210,41,169,22,5,17,12,3,9,14,1,13
804395k,Mary Beth Canty,Mary Beth Canty,House,104,239,43,196,39,8,31,11,3,8,36,9,27
839184k,Mary Gill,Mary Gill,House,104,127,30,97,15,5,10,14,1,13,10,3,7
724387k,Maura Hirschauer,Maura Hirschauer,House,104,270,59,211,46,9,37,12,3,9,53,12,41
289863k,Michelle Mussman,Michelle Mussman,House,104,293,43,250,53,8,45,11,0,11,54,19,35
804387k,Nabeela Syed,Nabeela Syed,House,104,228,65,163,46,10,36,10,2,8,31,9,22
387729k,Natalie A. Manley,Natalie A. Manley,House,104,152,33,119,24,5,19,6,0,6,9,3,6
859564k,Nicole La Ha,Nicole La Ha,House,104,152,22,130,12,1,11,11,3,8,27,4,23
880072k,Nicolle Grasse,Nicolle Grasse,House,104,363,26,337,78,8,70,18,0,18,39,0,39
804492k,Norma Hernandez,Norma Hernandez,House,104,182,19,163,32,4,28,15,2,13,31,3,28
796401k,Regan Deering,Regan Deering,House,104,82,20,62,6,3,3,2,0,2,11,6,5
287099k,Robyn Gabel,Robyn Gabel,House,104,282,207,75,22,13,9,5,3,2,19,7,12
804553k,Sharon Chung,Sharon Chung,House,104,224,48,176,35,9,26,16,3,13,34,7,27
559508k,Sonya M. Harper,Sonya M. Harper,House,104,191,58,133,28,7,21,8,1,7,22,3,19
387605k,Stephanie A. Kifowit,Stephanie A. Kifowit,House,104,202,56,146,18,7,11,41,20,21,24,3,21
387726k,Sue Scherer,Sue Scherer,House,104,63,7,56,5,0,5,8,0,8,15,1,14
645525k,Terra Costa Howard,Terra Costa Howard,House,104,84,20,64,11,0,11,1,0,1,10,5,5
560990k,Theresa Mah,Theresa Mah,House,104,241,30,211,47,4,43,11,0,11,27,2,25
859524k,Tracy Katz Muhl,Tracy Katz Muhl,House,104,177,40,137,30,4,26,9,1,8,31,11,20
753914k,Adriane Johnson,Adriane Johnson,Senate,104,463,144,319,62,20,42,26,4,22,72,22,50
675767k,Celina Villanueva,Celina Villanueva,Senate,104,170,101,69,18,9,9,13,7,6,24,20,4
560946k,Cristina Castro,Cristina Castro,Senate,104,248,96,152,31,6,25,18,5,13,28,15,13
910887k,Darby A. Hills,Darby A. Hills,Senate,104,104,32,72,5,2,3,4,1,3,21,8,13
766559k,Doris Turner,Doris Turner,Senate,104,220,71,149,28,9,19,11,5,6,35,14,21
247264k,Jil W. Tracy,Jil Tracy,Senate,104,176,68,108,8,3,5,4,1,3,19,8,11
645527k,Karina Villa,Karina Villa,Senate,104,309,60,249,67,17,50,23,4,19,47,16,31
193900k,Kimberly A. Lightford,Kimberly A. Lightford,Senate,104,179,55,124,23,7,16,11,5,6,40,10,30
724218k,Lakesia Collins,Lakesia Collins,Senate,104,276,84,192,47,19,28,20,6,14,37,14,23
646482k,Laura Ellman,Laura Ellman,Senate,104,151,92,59,11,5,6,1,0,1,18,12,6
387347k,Laura Fine,Laura Fine,Senate,104,253,88,165,52,23,29,14,6,8,25,9,16
555460k,Laura M. Murphy,Laura M. Murphy,Senate,104,300,68,232,27,5,22,11,1,10,36,7,29
250812k,Linda Holmes,Linda Holmes,Senate,104,138,44,94,10,3,7,8,5,3,13,1,12
671347k,Mary Edly-Allen,Mary Edly-Allen,Senate,104,428,80,348,63,6,57,16,1,15,62,15,47
214463k,Mattie Hunter,Mattie Hunter,Senate,104,253,44,209,43,13,30,12,2,10,29,3,26
724349k,Meg Loughran Cappel,Meg Loughran Cappel,Senate,104,182,66,116,20,5,15,8,3,5,43,26,17
712640k,Rachel Ventura,Rachel Ventura,Senate,104,451,72,379,54,4,50,23,2,21,51,6,45
765743k,Sally J. Turner,Sally J. Turner,Senate,104,278,83,195,18,6,12,5,1,4,33,8,25
194298k,Sara Feigenholtz,Sara Feigenholtz,Senate,104,260,66,194,43,15,28,12,4,8,32,12,20
289878k,Sue Rezin,Sue Rezin,Senate,104,153,94,59,5,4,1,2,2,0,14,10,4
477858k,Terri Bryant,Terri Bryant,Senate,104,214,66,148,8,1,7,12,10,2,25,11,14
