ID,cawp_name,ilga_name,chamber,general_assembly,ilga_all_bills_count,ilga_primary_bills_count,ilga_cosponsored_bills_count,ilga_healthcare_all_count,ilga_healthcare_primary_count,ilga_healthcare_cosponsored_count,ilga_employment_all_count,ilga_employment_primary_count,ilga_employment_cosponsored_count,ilga_education_children_all_count,ilga_education_children_primary_count,ilga_education_children_cosponsored_count
291417k,Kelly M. Burke,Kelly Burke,House,98,131,60,71,10,0,10,8,1,7,13,2,11
343438k,Kelly M. Cassidy,Kelly M. Cassidy,House,98,207,55,152,32,5,27,15,2,13,26,5,21
387347k,Laura Fine,Laura Fine,House,98,139,25,114,20,3,17,6,2,4,19,5,14
212697k,Linda Chapa LaVia,Linda Chapa LaVia,House,98,384,91,293,36,4,32,11,0,11,126,63,63
507765k,Litesa E. Wallace,Litesa E. Wallace,House,98,3,0,3,0,0,0,1,0,1,1,0,1
10125c,Maria Antonia Berrios,Maria Antonia Berrios,House,98,156,21,135,24,0,24,7,0,7,24,0,24
386896k,Mary E. Flowers,Mary E. Flowers,House,98,214,65,149,48,21,27,16,3,13,41,11,30
289863k,Michelle Mussman,Michelle Mussman,House,98,106,15,91,6,1,5,2,1,1,17,3,14
194311k,Monique D. Davis,Monique D. Davis,House,98,227,48,179,26,1,25,13,1,12,65,12,53
10137c,Naomi D. Jakobsson,Naomi D. Jakobsson,House,98,167,37,130,27,6,21,7,1,6,27,10,17
387729k,Natalie A. Manley,Natalie A. Manley,House,98,129,22,107,9,0,9,3,0,3,14,3,11
314709k,Norine K. Hammond,Norine Hammond,House,98,138,33,105,15,0,15,6,0,6,20,8,12
16064c,Pam Roth,Pam Roth,House,98,61,14,47,7,0,7,6,3,3,10,3,7
194331k,Patricia R. Bellock,Patricia R. Bellock,House,98,218,35,183,40,13,27,11,0,11,18,4,14
287099k,Robyn Gabel,Robyn Gabel,House,98,192,58,134,43,15,28,15,5,10,20,4,16
10126c,Sandra M. Pihos,Sandra M. Pihos,House,98,176,31,145,15,5,10,12,2,10,26,10,16
194298k,Sara Feigenholtz,Sara Feigenholtz,House,98,164,78,86,32,24,8,6,0,6,21,12,9
477789k,Sheri L. Jesiel,Sheri L Jesiel,House,98,4,0,4,1,0,1,0,0,0,0,0,0
386852k,Silvana Tabares,Silvana Tabares,House,98,106,17,89,10,4,6,3,0,3,18,2,16
387605k,Stephanie A. Kifowit,Stephanie A. Kifowit,House,98,181,17,164,12,0,12,6,0,6,25,1,24
387726k,Sue Scherer,Sue Scherer,House,98,124,17,107,9,0,9,6,1,5,15,3,12
194248k,Christine Radogno,Christine Radogno,Senate,98,214,190,24,10,8,2,25,23,2,12,12,0
212706k,Jacqueline Y. Collins,Jacqueline Y. Collins,Senate,98,241,50,191,32,5,27,15,1,14,40,8,32
387557k,Jennifer Bertino-Tarrant,Jennifer Bertino-Tarrant,Senate,98,83,35,48,5,0,5,5,1,4,21,12,9
193900k,Kimberly A. Lightford,Kimberly A. Lightford,Senate,98,136,44,92,14,1,13,8,3,5,44,28,16
250812k,Linda Holmes,Linda Holmes,Senate,98,130,46,84,11,2,9,8,4,4,6,3,3
214463k,Mattie Hunter,Mattie Hunter,Senate,98,199,81,118,48,21,27,11,1,10,31,12,19
387460k,Melinda Bush,Melinda Bush,Senate,98,153,34,119,19,2,17,9,1,8,24,11,13
214519k,Pamela J. Althoff,Pamela J. Althoff,Senate,98,263,117,146,18,7,11,20,9,11,18,2,16
387354k,Patricia Van Pelt,Patricia Van Pelt,Senate,98,99,10,89,11,2,9,15,2,13,11,0,11
289878k,Sue Rezin,Sue Rezin,Senate,98,77,15,62,3,0,3,7,2,5,19,2,17
527585k,Avery Bourne,Avery Bourne,House,99,99,20,79,3,0,3,3,0,3,12,2,10
194309k,Barbara Flynn Currie,Barbara Flynn Currie,House,99,203,112,91,17,3,14,19,9,10,25,9,16
387539k,Barbara Wheeler,Barbara Wheeler,House,99,127,35,92,8,1,7,13,2,11,27,9,18
477852k,Carol Ammons,Carol Ammons,House,99,324,30,294,44,4,40,16,1,15,50,5,45
477764k,Christine J. Winger,Christine Winger,House,99,97,29,68,4,1,3,4,1,3,11,4,7
