State,Year,Law Passed,Law Description,Law Link,Sentiment,Reasoning
California,2016,CA A 813 - Criminal Procedure: Post Conviction Relief,Creates an explicit right for a person no longer imprisoned to prosecute a motion to vacate a conviction based on prejudicial error damaging the individual's ability to meaningfully understand adverse immigration consequences of a plea.,https://www.ncsl.org/immigration/immigration-legislation-archived-database,Pro-Immigration,
California,2016,CA A 2159 - Evidence: Immigration Status,"Provides that in a civil action for personal injury or wrongful death, evidence of a person's immigration status is not admissible or permitted.",https://www.ncsl.org/immigration/immigration-legislation-archived-database,Pro-Immigration,
California,2016,CA A 2792 - Local Law Enforcement Agencies: Immigration Enforcement,"Requires local law enforcement to provide a written consent form prior to an ICE interview with an individual in custody regarding civil immigration violations, explaining the purpose is voluntary.",https://www.ncsl.org/immigration/immigration-legislation-archived-database,Pro-Immigration,
California,2016,CA A 2844 - Public Contracts: Discrimination,"Requires bidders on contracts of $100,000 or more to certify compliance with civil rights acts protecting against discrimination including based on immigration status.",https://www.ncsl.org/immigration/immigration-legislation-archived-database,Pro-Immigration,
California,2015,CA A 60 - Immigration Services,Revises the definition of immigration reform act to include presidential executive actions. Requires the State Bar to announce immigration executive actions and makes it unlawful for attorneys to demand advance payment for immigration reform act services.,https://www.ncsl.org/immigration/immigration-legislation-archived-database,Pro-Immigration,
California,2015,CA A 900 - Juveniles: Special Immigrant Juvenile Status,"Permits the court to appoint a guardian to unmarried individuals between 18-21 to assist with petitions for special immigrant juvenile status, including unaccompanied immigrant children.",https://www.ncsl.org/immigration/immigration-legislation-archived-database,Pro-Immigration,
California,2015,CA A 1343 - Criminal Procedure: Defense Counsel,Requires defense counsel to provide accurate and affirmative advice about immigration consequences of a proposed disposition and to defend against those consequences.,https://www.ncsl.org/immigration/immigration-legislation-archived-database,Pro-Immigration,
California,2013,CA A 1159 - Immigration Services,Requires attorneys providing immigration reform act services to register with the State Bar and regulates unauthorized practice of law for immigration services.,https://www.ncsl.org/immigration/immigration-legislation-archived-database,Pro-Immigration,
Illinois,2013,IL H 2269 - Notary Public Act,Limits fees charged by notary publics for immigration forms.,https://www.ncsl.org/immigration/immigration-legislation-archived-database,Pro-Immigration,
California,2012,CA S 1021 - Public Safety,States that inmates with a U.S. Immigration and Customs hold convicted of specified offenses would be considered on a case-by-case basis for a community treatment program.,https://www.ncsl.org/immigration/immigration-legislation-archived-database,Pro-Immigration,
